Name                                      CurrentValue    Limit
standard DCADCCV5 Family vCPUs            0               0
Standard DCADSv5 Family vCPUs             0               0
Standard DCadsv6 Family vCPUs             0               0
standard DCACCV5 Family vCPUs             0               0
Standard DCASv5 Family vCPUs              0               0
Standard DCasv6 Family vCPUs              0               0
Standard DDCSv3 Family vCPUs              0               0
Standard DCEDV5 Family vCPUs              0               0
Standard DCEV5 Family vCPUs               0               0
Standard DCSv3 Family vCPUs               0               0
Standard DCSv2 Family vCPUs               0               8
Standard DCS Family vCPUs                 0               8
Standard DS Family vCPUs                  0               10
Standard DSv2 Family vCPUs                0               10
Standard DSv2 Promo Family vCPUs          0               10
Standard EIDSv5 Family vCPUs              0               0
Standard EIDv5 Family vCPUs               0               0
Standard EISv5 Family vCPUs               0               0
Standard EIv5 Family vCPUs                0               0
Standard EIADSv5 Family vCPUs             0               0
Standard EIASv5 Family vCPUs              0               0
Standard EIBDSv5 Family vCPUs             0               0
Standard EIBSv5 Family vCPUs              0               0
Standard Eadsv7 Family vCPUs              0               10
Standard Easv7 Family vCPUs               0               10
Standard Edsv6 Family vCPUs               0               10
Standard Esv6 Family vCPUs                0               10
Standard Edsv7 Family vCPUs               0               10
Standard Endv6 Family vCPUs               0               10
Standard Env6 Family vCPUs                0               10
Standard Esv7 Family vCPUs                0               10
Standard EADSv5 Family vCPUs              0               0
Standard EASv4 Family vCPUs               0               10
Standard EASv5 Family vCPUs               0               0
Standard EDSv4 Family vCPUs               0               10
Standard EDSv5 Family vCPUs               0               0
Standard ESv3 Family vCPUs                0               10
Standard ESv4 Family vCPUs                0               0
Standard ESv5 Family vCPUs                0               0
standard Eadv6 Family vCPUs               0               10
standard Eav6 Family vCPUs                0               10
Standard EAv4 Family vCPUs                0               0
Standard EBDSv5 Family vCPUs              0               10
Standard EBSv5 Family vCPUs               0               10
Standard EDv4 Family vCPUs                0               0
Standard EDv5 Family vCPUs                0               0
Standard EPDSv5 Family vCPUs              0               0
Standard Epdsv6 Family vCPUs              0               10
Standard EPSv5 Family vCPUs               0               0
Standard Epsv6 Family vCPUs               0               10
Standard Ev3 Family vCPUs                 0               10
Standard Ev4 Family vCPUs                 0               10
Standard Ev5 Family vCPUs                 0               0
Standard EISv3 Family vCPUs               0               10
Standard EIv3 Family vCPUs                0               10
Standard EIDSv4 Family vCPUs              0               0
Standard XEISv4 Family vCPUs              0               0
Standard EIASv4 Family vCPUs              0               0
Standard ECEDV5 Family vCPUs              0               0
Standard ECEV5 Family vCPUs               0               0
standard ECADCCV5 Family vCPUs            0               0
Standard ECADSv5 Family vCPUs             0               0
Standard ECadsv6 Family vCPUs             0               0
standard ECACCV5 Family vCPUs             0               0
Standard ECASv5 Family vCPUs              0               0
Standard ECasv6 Family vCPUs              0               0
Standard ECIADSv5 Family vCPUs            0               0
Standard ECIASv5 Family vCPUs             0               0
Standard F Family vCPUs                   0               10
Standard Famdsv7 Family vCPUs             0               10
Standard Famsv7 Family vCPUs              0               10
Standard Fadsv7 Family vCPUs              0               10
Standard Faldsv7 Family vCPUs             0               10
Standard Falsv6 Family vCPUs              0               10
Standard Falsv7 Family vCPUs              0               10
Standard Famsv6 Family vCPUs              0               10
Standard Fasv6 Family vCPUs               0               10
Standard Fasv7 Family vCPUs               0               10
Standard FS Family vCPUs                  0               10
Standard FSv2 Family vCPUs                0               10
Standard FXmdsv2 Family vCPUs             0               10
Standard FXmsv2 Family vCPUs              0               10
Standard FXMDVS Family vCPUs              0               0
Standard G Family vCPUs                   0               10
Standard GS Family vCPUs                  0               10
Standard H Family vCPUs                   0               8
Standard H Promo Family vCPUs             0               8
Standard HBrsv2 Family vCPUs              0               0
Standard HBv3 Family vCPUs                0               0
Standard HBv4 Family vCPUs                0               0
Standard Hbv5 Family vCPUs                0               0
Standard HBS Family vCPUs                 0               0
Standard HCS Family vCPUs                 0               0
Standard HX Family vCPUs                  0               0
InternalNDM Sv 1 Family vCPUs             0               10
Standard Laosv4 Family vCPUs              0               10
Standard LASv3 Family vCPUs               0               0
Standard Lasv 4 Family vCPUs              0               10
Standard LS Family vCPUs                  0               10
Standard LSv2 Family vCPUs                0               10
Standard LSv3 Family vCPUs                0               0
Standard Lsv 4 Family vCPUs               0               10
Standard MS Family vCPUs                  0               0
Standard MBDSMediumMemoryv3 Family vCPUs  0               10
Standard MBSMediumMemoryv3 Family vCPUs   0               10
Standard MDSMediumMemoryv2 Family vCPUs   0               0
Standard MSMediumMemoryv2 Family vCPUs    0               0
StandardMDS Medium Memoryv3 Family vCPUs  0               0
StandardMS Medium Memoryv3 Family vCPUs   0               0
Standard MIDSMediumMemoryv2 Family vCPUs  0               0
Standard MISMediumMemoryv2 Family vCPUs   0               0
Standard MSv2 Family vCPUs                0               0
StandardMDS High Memoryv3 Family vCPUs    0               0
StandardMS High Memoryv3 Family vCPUs     0               0
StandardMIDS High Memoryv3 Family vCPUs   0               0
StandardMIS High Memoryv3 Family vCPUs    0               0
Standard NC Family vCPUs                  0               12
Standard NCSv2 Family vCPUs               0               0
Standard NCSv3 Family vCPUs               0               0
Standard NC Promo Family vCPUs            0               12
Standard NCADSA10v4 Family vCPUs          0               0
Standard NCASv3_T4 Family vCPUs           0               0
Standard NCADS_A100_v4 Family vCPUs       0               0
Standard NCadsH100v5 Family vCPUs         0               0
Standard NCCads2023 Family vCPUs          0               0
Standardndisrgb300g5v6family vCPUs        0               0
Standard NDISR GB300V6 Family vCPUs       0               0
StandardNDISRGB200V6NDRFamily vCPUs       0               0
Standard NDS Family vCPUs                 0               0
Standard NDSv2 Family vCPUs               0               0
Standard NDSv3 Family vCPUs               0               0
Standard NDAMSv4_A100Family vCPUs         0               0
Standard NDASv4_A100 Family vCPUs         0               0
Standard NDSH100v5 Family vCPUs           0               0
StandardNDISRH200V5Family vCPUs           0               0
StandardNDI Sv 5MI300X Family vCPUs       0               0
Standard NGADSV620v1 Family vCPUs         0               0
Standard NPS Family vCPUs                 0               0
Standard NVADSA10v5 Family vCPUs          0               0
Standard NV Family vCPUs                  0               12
Standard NVadsV710v5 Family vCPUs         0               0
Standard NVSv2 Family vCPUs               0               0
Standard NVSv3 Family vCPUs               0               0
Standard NV Promo Family vCPUs            0               12
Standard NVSv4 Family vCPUs               0               8
Standard PBS Family vCPUs                 0               6
Standard Storage Managed Disks            0               50000
Premium Storage Managed Disks             0               50000
StandardSSDStorageDisks                   0               50000
StandardSSDZRSStorageDisks                0               50000
PremiumZRSStorageDisks                    0               50000
UltraSSDStorageDisks                      0               1000
PremiumV2StorageDisks                     0               1000
StandardStorageSnapshots                  0               75000
StandardSSDStorageSnapshots               0               75000
PremiumStorageSnapshots                   0               75000
ZrsStorageSnapshots                       0               75000
UltraSSDTotalSizeInGB                     0               102400
PremiumV2TotalDiskSizeInGB                0               102400
DiskEncryptionSets                        0               5000
DiskAccesses                              0               1000
BackgroundCopyInProgressUltraSSDDisks     0               50
BackgroundCopyInProgressPremiumV2Disks    0               50
PremiumV2StorageSnapshots                 0               1000
PremiumV2TotalSnapshotSizeInGB            0               102400
Gallery                                   0               100
Gallery Image                             0               1000
Gallery Image Version                     0               10000
Gallery Application Version               0               300
Gallery Script Version                    0               300
